CD4+ Tn	CD4+ blood-Tcm	CD4+ Temra	CD4+ tissue-Tcm	CD4+ Trm	CD4+ Th17	CD4+ activated T	CD4+ Tfh	CD4+ Treg
KLF10	0.149454367975586	0.153926602506547	0.0279993045040202	0.0893566282689023	0.315967915831348	0.0510858323943407	0.156272782747118	0.058595778281427	0.142779307891009
KLF12	0.188865999852583	0.203505194040657	0.0310564857292634	0.10424257082569	0.250312097517766	0.0461661643697815	0.137920569233248	0.0728448689685597	0.144528469459332
KLF13	0.168417407122704	0.22846911292423	0.0363697436891268	0.091310733081966	0.256493577576228	0.0492052008544929	0.109429047230591	0.0570529569650097	0.134282680329701
KLF16	0.152482889319789	0.158576693744269	0.0267774748732778	0.105552014829256	0.265168094923155	0.0517132320207058	0.142400280488101	0.0750658378551465	0.170957109940505
KLF2	0.2124482379736	0.207239602582418	0.0290905856613408	0.0984191187300789	0.243980003923037	0.045609581258959	0.145053673876904	0.068603532394098	0.138002207386385
KLF3	0.200472450387487	0.190570263315292	0.0291549792462092	0.106540327886828	0.253606458688573	0.0490903679239703	0.14750766117698	0.0745232454516233	0.147247094409735
KLF4	0.148923506753516	0.140914633740208	0.0252025400405752	0.0978896798001222	0.319601802541785	0.0496651538858981	0.158214013153324	0.063564347723956	0.142936677431288
KLF5	0.172896839153806	0.163219117924368	0.0293315993335157	0.115860399251634	0.274734322222417	0.0486829955966464	0.14855646860418	0.0743830885539171	0.152202138614054
KLF8	0.134094079072948	0.245344032666499	0.0369230762454639	0.0745227889946799	0.247977388278512	0.0409599924116081	0.0878309917506951	0.0392231539364299	0.125208341375126
LBX2	0.192837731851809	0.202332793538476	0.0253252953403321	0.110101821152667	0.213322600697391	0.0441148203616391	0.0904450744024033	0.0457641260428336	0.100963822301075
LEF1	0.233700663972876	0.184758800310312	0.0252153747436304	0.116085599276174	0.224529743319157	0.0430243462323986	0.137814680112843	0.0710967345278043	0.140323121968068
LYL1	0.0558363280292241	0.0516152661366386	0.014728936023099	0.039981454539712	0.0904056987808821	0.0182376482515081	0.0287784700836161	0.0181574522197085	0.0460716960319302
MAF	0.113585861066124	0.133386153341459	0.0318041565953301	0.11190177028675	0.236172855330003	0.0651261220059608	0.140132779954402	0.137114432369283	0.209996814917829
MAFB	0.102854097485743	0.0732026549066289	0.0169899800309675	0.136756111519579	0.246320524383875	0.0272121350322502	0.0935781259905201	0.0592936958974092	0.13340771121204
MAFF	0.127592115104453	0.131707583354619	0.0248035054378712	0.101941274861864	0.330649188454205	0.0528883867474891	0.165525250230247	0.0690752653958889	0.148341325873711
MAFG	0.110692886818883	0.130243132982874	0.0301561441893187	0.0829923268164282	0.146832110400325	0.0516712370812485	0.112858045841573	0.133417607906287	0.157667982057001
MAX	0.199368973145143	0.180871631110673	0.0289090344496588	0.108410502720764	0.249897026789987	0.0501225607919092	0.150034554816476	0.0814376288401153	0.154530484907752
MAZ	0.184921301876974	0.180710467107236	0.0315544649407983	0.106072321754789	0.252928953371807	0.0535236001649907	0.14222397890328	0.0895752977394542	0.163590029433174
MEF2B	0.194289982247254	0.184647606349491	0.0298791548213923	0.0905580076269237	0.228607541358147	0.0502132714688406	0.146908519478132	0.0782161615565136	0.136041735762619
MEF2D	0.0307826125894158	0.0295078348476224	0.0126597540246611	0.0176434843196357	0.0392233990579873	0.0147176138637674	0.0440705975799057	0.0201738138179074	0.0339249551941586
MEOX1	0.101890667229191	0.082067444351736	0.01465659039488	0.0730105551076315	0.0916560667672656	0.0253895422976987	0.0776833162370795	0.0510054340669741	0.190333677130333
MGA	0.0592653791939345	0.0506149242940094	0.0115580928473807	0.0376464398144073	0.0607271307049083	0.0126073192592717	0.051968762114061	0.0261115438415254	0.0449942520261088
MLX	0.143287338175279	0.166197542800765	0.0331568284781238	0.104700918957266	0.226106528276678	0.0610622295313673	0.115163198386855	0.106271905115939	0.156338182000379
MXD1	0.13422921758808	0.120987380874323	0.0265699462925876	0.0705187866302472	0.224389671721254	0.0503624381910008	0.145946807013575	0.0628551862606047	0.12468554746632
MXI1	0.193085917821031	0.180096540948407	0.0293624968930565	0.107678262053455	0.245792790866196	0.0510468230490319	0.147803557051155	0.0868586171913006	0.157480329427083
MYBL1	0.157043044278448	0.197919509252989	0.0296428490297556	0.0890844375223316	0.315455233435152	0.0580133862721864	0.13092827385298	0.0515732084932672	0.125918005375017
MYBL2	0.101240747750906	0.0820225515937715	0.0164328627292529	0.0809351843344313	0.109489640776646	0.0160105683746281	0.0594818404127966	0.0434530782704334	0.0809198533323897
MYC	0.18661977531185	0.177730386941376	0.0288909329371185	0.114995989578732	0.269303056752184	0.0525314091939679	0.137139772850547	0.080914803407813	0.153935038321777
